,tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,month,year
1112,707741517457260545,2016-03-10 01:35:01+00:00,10,10,554,2286,3,2016
1113,707738799544082433,2016-03-10 01:24:13+00:00,12,10,2198,3726,3,2016
1115,707629649552134146,2016-03-09 18:10:30+00:00,10,10,781,2352,3,2016
1116,707610948723478529,2016-03-09 16:56:11+00:00,12,10,5707,15560,3,2016
1118,707411934438625280,2016-03-09 03:45:22+00:00,11,10,543,2112,3,2016
1119,707387676719185920,2016-03-09 02:08:59+00:00,10,10,1144,3210,3,2016
1121,707315916783140866,2016-03-08 21:23:50+00:00,10,10,577,2282,3,2016
1122,707297311098011648,2016-03-08 20:09:54+00:00,10,10,707,2577,3,2016
1123,707059547140169728,2016-03-08 04:25:07+00:00,11,10,619,2397,3,2016
1124,707038192327901184,2016-03-08 03:00:15+00:00,10,10,716,2014,3,2016
1125,707021089608753152,2016-03-08 01:52:18+00:00,12,10,1220,3726,3,2016
1126,707014260413456384,2016-03-08 01:25:10+00:00,11,10,538,2111,3,2016
1127,706904523814649856,2016-03-07 18:09:06+00:00,13,10,7103,13408,3,2016
1129,706681918348251136,2016-03-07 03:24:33+00:00,12,10,890,3022,3,2016
1131,706593038911545345,2016-03-06 21:31:22+00:00,10,10,581,1982,3,2016
1132,706538006853918722,2016-03-06 17:52:42+00:00,11,10,1286,3186,3,2016
1133,706516534877929472,2016-03-06 16:27:23+00:00,12,10,929,2871,3,2016
1134,706346369204748288,2016-03-06 05:11:12+00:00,12,10,841,3161,3,2016
1135,706310011488698368,2016-03-06 02:46:44+00:00,12,10,7117,19502,3,2016
1136,706291001778950144,2016-03-06 01:31:11+00:00,11,10,434,1567,3,2016
1137,706265994973601792,2016-03-05 23:51:49+00:00,11,10,847,2514,3,2016
1138,706169069255446529,2016-03-05 17:26:40+00:00,12,10,2000,3577,3,2016
1140,706153300320784384,2016-03-05 16:24:01+00:00,13,10,343,1355,3,2016
1141,705975130514706432,2016-03-05 04:36:02+00:00,10,10,661,2857,3,2016
1142,705970349788291072,2016-03-05 04:17:02+00:00,12,10,795,2919,3,2016
1143,705898680587526145,2016-03-04 23:32:15+00:00,10,10,494,2174,3,2016
1144,705786532653883392,2016-03-04 16:06:36+00:00,11,10,466,1789,3,2016
1145,705591895322394625,2016-03-04 03:13:11+00:00,11,10,1026,2907,3,2016
1146,705475953783398401,2016-03-03 19:32:29+00:00,12,10,823,2735,3,2016
1147,705442520700944385,2016-03-03 17:19:38+00:00,12,10,1456,4058,3,2016
1148,705428427625635840,2016-03-03 16:23:38+00:00,11,10,1515,3502,3,2016
1149,705239209544720384,2016-03-03 03:51:44+00:00,11,10,676,2767,3,2016
1151,705102439679201280,2016-03-02 18:48:16+00:00,10,10,472,1955,3,2016
1152,705066031337840642,2016-03-02 16:23:36+00:00,12,10,556,2012,3,2016
1153,704871453724954624,2016-03-02 03:30:25+00:00,12,10,1014,3956,3,2016
1154,704859558691414016,2016-03-02 02:43:09+00:00,10,10,476,2066,3,2016
1155,704847917308362754,2016-03-02 01:56:53+00:00,12,10,1363,4688,3,2016
1157,704761120771465216,2016-03-01 20:11:59+00:00,13,10,2617,6120,3,2016
1158,704499785726889984,2016-03-01 02:53:32+00:00,12,10,901,2654,3,2016
1159,704491224099647488,2016-03-01 02:19:31+00:00,13,10,71,687,3,2016
1160,704480331685040129,2016-03-01 01:36:14+00:00,11,10,978,3143,3,2016
1161,704364645503647744,2016-02-29 17:56:32+00:00,12,10,3225,7321,2,2016
1162,704347321748819968,2016-02-29 16:47:42+00:00,10,10,313,1443,2,2016
1163,704134088924532736,2016-02-29 02:40:23+00:00,12,10,411,1384,2,2016
